Facebook_Id,post_id,Total Interactions,Likes,Comments,Shares,Post Views,advocacy_msg_type_illuminating,issue_msg_type_illuminating,attack_msg_type_illuminating,covid_topic_illuminating,economy_topic_illuminating,education_topic_illuminating,environment_topic_illuminating,incivility_illuminating,fraud_illuminating
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,7e135ec815190850f74375a319f110f4d40fcc7ac05cfd8ff083d23b52f754f6,115.0,86,2,2,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,7eb104d8bdaa167a685a16fda1cc435fb19ee8b4e409be67e7af8f4558013046,47.0,18,14,0,451.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,80c4ccc9669f699dc02059a8ae8e3cdb2edd0050308fbb4abfdfa924e362c9c8,29.0,19,5,3,319.0,0,0,1,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,80e1644d7dba4dd9df0e32069df4ebd9f232c0d5dc8e5f6f90b78d18c81e4165,130.0,49,58,5,0.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,8125ce55b9a7cbbf09f99a9b8c4b16c217be851024fd8204895b21cad674e1e6,36.0,19,10,2,475.0,0,0,1,0,0,0,0,1,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,8202c4930623ed68389b2ecdfb8e4f4464ae4b7ad486ea147d4b6f43a9c69f2d,40.0,26,7,5,361.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,82924639e8621ebd158f79a75b350c64e727171bbf1b57d980afc079a0ecbd92,92.0,37,36,5,0.0,1,1,0,0,1,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,8360d63a09b51a1e0c53add6da9e0d7ca27963e8101260632b58b29fa274877e,72.0,60,4,5,0.0,1,1,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,858f18f8a9c76ddf67ddb73de6bc816be0906022460232c576965833cbf31df3,104.0,79,8,6,0.0,1,0,0,0,0,0,0,0,0
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,87cef569fba02860b4a7b349acaf2b30efeb6685c3f7dfe3d69870e1c986e8d4,489.0,332,7,4,0.0,0,0,0,0,0,0,0,0,0
