page_id,total_ads,estimated_audience_size_mean,estimated_audience_size_median,estimated_audience_size_sum,estimated_impressions_mean,estimated_impressions_median,estimated_impressions_sum,estimated_spend_mean,estimated_spend_median,estimated_spend_sum,advocacy_msg_type_illuminating_<lambda>,issue_msg_type_illuminating_<lambda>,covid_topic_illuminating_mean,economy_topic_illuminating_mean,education_topic_illuminating_mean
04b6c8e93aa1d55bb2892cb3140abe806f5904f6b2062284ec5e60315d480a03,1,30000.0,30000.0,30000,9499.0,9499.0,9499,149.0,149.0,149,1,1,0.0,1.0,0.0
04cddd2ba2c18437ea38045fbed6a522c7ed85a500cd0f37fcd8897fda2745f0,1,1000001.0,1000001.0,1000001,499.0,499.0,499,49.0,49.0,49,0,0,1.0,0.0,0.0
04d091d90adc9f527302554f068053c794711c053964d966d3c183b91bcc8a24,1,7500.0,7500.0,7500,17499.0,17499.0,17499,249.0,249.0,249,1,1,0.0,0.0,0.0
04d77bc0bc511b70d056aeaf825d65d51dd09c19ab255428348273f2c28c385a,2,650000.5,650000.5,1300001,999.0,999.0,1998,49.0,49.0,98,0,0,0.0,0.0,0.0
04df4069408580c1b41901cd7549d4a468d1e36db738bd1c487b245b130e90a9,458,792474.52,1000001.0,362953331,23761.02,499.0,10882545,490.05,49.0,224442,0,0,0.01,0.0,0.0
04eb44de93c0fbf87b52db088e0a9428378ede80f14f0de71f9b4dfe96d6e428,1,750000.0,750000.0,750000,17499.0,17499.0,17499,149.0,149.0,149,0,0,0.0,0.0,0.0
0505a279eecc6c34ae692e0248e462279952f737474b36d63bd7ceefe05139cc,5,13310.0,3000.0,66550,7099.0,7499.0,35495,189.0,149.0,945,0,1,0.2,0.4,0.0
050934f9c90207fd3f068267370d191e5b196717ea81dcecef893813fcacf27f,1,30000.0,30000.0,30000,37499.0,37499.0,37499,449.0,449.0,449,1,0,0.0,0.0,0.0
050d19baffb48ab0f86d4c199f2254c690241ab81e7d2faace6bbc242e100d6e,14,788929.36,1000001.0,11045011,570.43,499.0,7986,49.0,49.0,686,0,0,0.0,0.0,0.0
0514e71c4f6c65f2538b3caea1e734215758276383ec1cd30447c493009e5381,33,9868.18,3000.0,325650,9120.21,4499.0,300967,403.55,149.0,13317,1,1,0.0,0.0,0.0
0528c8be47563318e22084ded4a11cd0058c61bbdafdada91f0f4bc03a359c24,5,165000.0,75000.0,825000,400499.0,374999.0,2002495,6609.0,7499.0,33045,1,1,0.0,0.6,0.6
052aed7aded2d01d28748bf7ecc77589981664161e16f9890dd486fea7804793,1,1000001.0,1000001.0,1000001,1499.0,1499.0,1499,49.0,49.0,49,0,1,0.0,0.0,0.0
0534a25c926561b7290386602ebf9070868b6d3335905225d11912995ffffe5b,1,1000001.0,1000001.0,1000001,22499.0,22499.0,22499,149.0,149.0,149,0,0,0.0,0.0,0.0
0537af4a1d9210cf59cc5a528c4901c2a1529130dd0b8087b9a761d3542fe326,3,300000.0,300000.0,900000,16499.0,17499.0,49497,382.33,449.0,1147,1,0,0.0,0.0,0.0
053cbe727b443bcff7c07a87ec5db2acaed339326ee431df64a1c4a37291ed81,26,1000001.0,1000001.0,26000026,14075.92,6499.0,365974,49.0,49.0,1274,0,0,0.0,0.0,0.0
