source,id,retweetCount,replyCount,likeCount,quoteCount,viewCount,advocacy_msg_type_illuminating,issue_msg_type_illuminating,attack_msg_type_illuminating,covid_topic_illuminating,economy_topic_illuminating,education_topic_illuminating,environment_topic_illuminating,incivility_illuminating,fraud_illuminating
Periscope,6733e3ed8230ef6b6f0cf92777df05f71ea9f663196e704398a84830657207c6,177,66,823,6,97474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,678c99e969b08171d1ac8c511bace270457b32babaf8f0affa402c4e178e1061,416,131,1660,39,135639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,6800e1f6c3f8466e234ee5d7a1d99e8516f15105b2f86ffe13148b5d8a4647b7,232,87,1223,21,144420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,6b64602a73c98dc683421d9373e4d4eddf7f0592d18932115c857eb55f0cfaca,371,359,1346,55,219403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,6ef495362431e6ab835f777f8ad73f0a6e01312a556bec0ef7f00863beeec0d6,394,526,2047,45,148501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,724eb3cab06e545176f261d7bb1567f304d765e2e38b27ce6e4c2fc54b0d036a,42,41,158,8,83530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,73860293b666ffc155bd08a0ede952a1a36dec25ea4a0050d0791be4ea86afb4,52,48,230,7,67447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,74faee1b04d19578b7c8a854acdab8ad3803c863a19106ebb6c91571e56459fa,169,162,710,13,79687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,75028aac1ac35225bf7b7357336c6059b8e84b1e677d1dc9aa4072b410f445d9,53,98,329,6,75734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,75c30f78c4a8cdd4dbc0ae08b8acf5d2e94e4f390c3c74d8777034430da3759a,742,471,3343,84,1520269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,7880de1a2d3c0d13de289b1b0b3f1bd23bf5118265854ce7a624ab21207e51d9,315,364,1493,23,218425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,79655f69b331cf283c137fcbed1d938e5a6adf3d4a5419821f1195c8b9836f71,211,65,945,10,113968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,7a956e1a453deab79f74c9b37dbbb6b06bd28703692813664f16616515381ead,432,421,1859,45,195343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,7b4cc94540e12878a3eb0f1d508243532028f4dfd4d6a8775eeb020f46729e41,360,59,855,20,19621,,,,,,,,,0
Periscope,7d07f7803fa542dd1e3b2ce0a7f14c38831b027692e9811f2c9a99b3843c14ee,70,363,439,48,171630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,7da1876bbf2a5b7c61ab6ac9ad9c4c3f5e6c02741947b0dd69d415f1ae4d00f6,51,81,220,9,54380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,7ec07b2a252b7ffe414bc51df7dd01f6272b8dc580a0e70f5a1d45160af84a0d,32,16,96,1,16837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,8089a481741b78cb6c8463833b948e5f4589f01202208d176072cfbd3c201286,856,197,2099,42,32672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,81a2484dbe97e715e466eb97e2c355d408e5c5c9612d7e3d5e0cfa2709d60660,74,703,622,24,66095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,82069f36bdc882106b90553e591b3349f4c83a639e8c6582d493ed66266e7400,240,159,805,27,95994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,8da77f2d79f931ad7c7f3e5b58ed881c013b632284976d39cb69b0d558ea078b,274,30,630,10,26301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,8db0adcd3977dd426d29113982d12a1353f7e0f359ca2e8fe402683cd41697cb,257,220,1099,9,106218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,90fdfb88445751943bfbf758f6f8d5587de2f27ee24f50657db6bdd5e16fcd91,439,93,991,22,36673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,9510a310a4682c03648879196817e6f3e781fcc0f9a9a9c2af0bbad3c96f6879,224,308,920,15,107483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,976b6fd3c4c4312d59c9dec2cdf555f7032a25fb64fd8db65cc50e5173325840,244,416,1162,21,108181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,9a0500f1a21cdb56a243e4aab9d2914ba427b5121f1cdb92fa531df9053646c0,58,102,380,14,159664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,9a4535ffef78f4ff6f30e5c1a83de9f0d87261e7b2921f0f907a04fb46290127,43,97,178,7,84549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,a279245b6053e37b76563ad4d0daeee3e6a7e266bfacb746ca31566f164f064b,241,135,1089,12,115685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,a3e5e36d2497eb321e0bbb9c9eb5c13ec52d035f44f04824568601f679b7e207,50,108,261,7,34112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,a3f922f8448d982291725f2f191b80e810d8ffcb4a67dbfc1611f844fa4ff506,36,147,219,6,45632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,a7659998e55702b63e8da653f88cf98bb95eb3149509e82b837edfb6c6bef170,199,198,889,10,81275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,a833d71f5e3cbab9a165c7b55c2a7dc7638f60f87d56b6f7533298a44e790dc2,134,43,323,31,33970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,a8638cf71d52e0f8eec0e7f4b7b5ab8ed62f86940d359626a2d70c48819da5e7,29648,14559,127603,4891,14689732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,a8f572b76aadf632ddf5feb6943c1e2443346c96e3a8fb4aaf46c31bd78d3413,567,81,1359,37,52065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,aa4c77fc89b03cd70c4ddf518b3044697d0c994b89857e00992cbcf5eb047274,329,608,1793,19,147511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,af41fa025cb1e81aa61a1471d11bccc0458e2954309056570123acb48f2ecf05,295,163,1758,9,114726,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Periscope,b3da05d58f866dd38a8d0f156c965c7fbadab3f4c40efaed234dd00e77c04990,59,202,337,11,80347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,b4554640256b48674423b2bf091a5734603477a18b1018bf6b1a39c0c8d01340,47,76,248,10,61499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,b841b2d7c08a2e5a2285d9836bdde0c3f48d5c4976256c45f7ab4b94f9f0d79a,189,46,470,6,12831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,bdc69568a98c199311a82c6ebe614405d8de023012e337200da96eebc40aeb19,152,109,650,4,66139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,bdffbb0a3269dc83cb48e5b702c7c50418b0507af4ed3590fe7bc1bfc6d0787e,1073,272,4541,202,424221,,,,,,,,,0
Periscope,c13e70b12960231aac9a357e9d7055a34c7d4ffb0cc2403577ed52d7324e0d22,23,62,149,2,59965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,c589e167a7d7658716ecaa44fbbd599f84ece72503dc5be49eb4b9963cb86a7a,214,291,910,10,96308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,cbb3125f2f1b6e9b57e40343179dfa553d44c454e1da7642b92723924b734ae7,322,64,780,9,18323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
